Run_pulse,run_noise,ana_target
0,0,noise
1,0,Mn
2,2,noise
3,2,Mn
4,4,noise
5,5,noise
6,7,Mn
7,7,noise
8,8,noise
9,9,noise
10,10,noise
11,10,Mn
12,12,noise
13,13,noise
14,14,noise
15,15,noise
16,15,noise
17,16,Mn
18,18,noise
19,19,noise
20,19,Mn
21,21,noise
22,22,noise
23,23,noise
24,23,Mn
25,25,noise
26,26,noise
27,26,Mn
28,28,noise
29,29,noise
30,29,Mn
31,31,noise
32,32,noise
33,32,Mn
34,34,noise
35,35,noise
36,35,Mn
37,37,noise
38,38,noise
39,38,Mn
40,40,noise
41,41,noise
42,41,Mn
43,43,noise
44,44,noise
45,45,noise
46,44,Mn
47,47,noise
48,48,noise
49,48,Mn
50,50,noise
51,50,Mn
52,52,noise
53,53,noise
54,53,Mn
55,55,noise
56,56,noise
57,56,Mn
58,58,noise
59,59,noise
60,59,Mn
61,61,noise
62,61,Mn
63,63,noise
64,64,noise
65,64,Mn
66,66,noise
67,67,noise
68,67,Mn
69,69,noise
